x_location	radius	area	Mach	P_P0
0.000000	0.350000	0.384845	0.047305	0.998435
0.001000	0.327662	0.337288	0.053996	0.997962
0.002000	0.318441	0.318571	0.057181	0.997715
0.003000	0.311387	0.304614	0.059812	0.997500
0.004000	0.305458	0.293125	0.062167	0.997299
0.005000	0.300251	0.283216	0.064353	0.997107
0.006000	0.295557	0.274431	0.066424	0.996918
0.007000	0.291255	0.266499	0.068411	0.996731
0.008000	0.287262	0.259243	0.070338	0.996545
0.009000	0.283524	0.252540	0.072216	0.996358
0.010000	0.280000	0.246301	0.074057	0.996170
0.011000	0.276658	0.240457	0.075870	0.995981
0.012000	0.273475	0.234956	0.077659	0.995790
0.013000	0.270432	0.229756	0.079429	0.995596
0.014000	0.267514	0.224824	0.081186	0.995400
0.015000	0.264706	0.220130	0.082931	0.995201
0.016000	0.262000	0.215651	0.084668	0.994998
0.017000	0.259385	0.211369	0.086399	0.994792
0.018000	0.256855	0.207265	0.088126	0.994583
0.019000	0.254402	0.203325	0.089850	0.994369
0.020000	0.252020	0.199536	0.091573	0.994152
0.021000	0.249705	0.195887	0.093297	0.993931
0.022000	0.247452	0.192368	0.095022	0.993705
0.023000	0.245257	0.188971	0.096749	0.993475
0.024000	0.243117	0.185686	0.098481	0.993241
0.025000	0.241028	0.182509	0.100216	0.993001
0.026000	0.238986	0.179431	0.101957	0.992757
0.027000	0.236991	0.176447	0.103703	0.992508
0.028000	0.235039	0.173552	0.105456	0.992254
0.029000	0.233128	0.170742	0.107216	0.991995
0.030000	0.231257	0.168011	0.108983	0.991730
0.031000	0.229422	0.165356	0.110759	0.991460
0.032000	0.227624	0.162774	0.112543	0.991184
0.033000	0.225859	0.160260	0.114336	0.990903
0.034000	0.224127	0.157811	0.116139	0.990615
0.035000	0.222426	0.155426	0.117952	0.990322
0.036000	0.220756	0.153100	0.119774	0.990022
0.037000	0.219115	0.150832	0.121608	0.989717
0.038000	0.217501	0.148618	0.123452	0.989404
0.039000	0.215914	0.146458	0.125308	0.989086
0.040000	0.214353	0.144348	0.127175	0.988760
0.041000	0.212818	0.142287	0.129055	0.988428
0.042000	0.211306	0.140273	0.130946	0.988089
0.043000	0.209818	0.138304	0.132850	0.987743
0.044000	0.208353	0.136379	0.134767	0.987390
0.045000	0.206909	0.134496	0.136696	0.987029
0.046000	0.205487	0.132653	0.138639	0.986661
0.047000	0.204086	0.130850	0.140596	0.986285
0.048000	0.202704	0.129085	0.142566	0.985902
0.049000	0.201343	0.127357	0.144550	0.985510
0.050000	0.200000	0.125664	0.146548	0.985111
0.051000	0.198676	0.124005	0.148561	0.984703
0.052000	0.197370	0.122380	0.150588	0.984287
0.053000	0.196081	0.120787	0.152630	0.983862
0.054000	0.194810	0.119226	0.154687	0.983429
0.055000	0.193555	0.117695	0.156760	0.982987
0.056000	0.192317	0.116194	0.158848	0.982536
0.057000	0.191094	0.114722	0.160951	0.982076
0.058000	0.189888	0.113277	0.163070	0.981606
0.059000	0.188696	0.111860	0.165205	0.981127
0.060000	0.187519	0.110469	0.167356	0.980639
0.061000	0.186357	0.109104	0.169524	0.980141
0.062000	0.185209	0.107764	0.171708	0.979632
0.063000	0.184075	0.106449	0.173909	0.979114
0.064000	0.182955	0.105157	0.176127	0.978585
0.065000	0.181848	0.103889	0.178362	0.978046
0.066000	0.180755	0.102643	0.180613	0.977496
0.067000	0.179674	0.101419	0.182883	0.976936
0.068000	0.178606	0.100217	0.185170	0.976364
0.069000	0.177550	0.099036	0.187474	0.975782
0.070000	0.176506	0.097875	0.189796	0.975188
0.071000	0.175475	0.096734	0.192137	0.974582
0.072000	0.174455	0.095613	0.194495	0.973965
0.073000	0.173447	0.094511	0.196872	0.973336
0.074000	0.172450	0.093428	0.199267	0.972694
0.075000	0.171464	0.092363	0.201681	0.972041
0.076000	0.170490	0.091316	0.204114	0.971375
0.077000	0.169526	0.090286	0.206565	0.970696
0.078000	0.168572	0.089273	0.209036	0.970005
0.079000	0.167629	0.088278	0.211525	0.969300
0.080000	0.166697	0.087298	0.214034	0.968583
0.081000	0.165775	0.086335	0.216563	0.967851
0.082000	0.164862	0.085387	0.219111	0.967107
0.083000	0.163960	0.084455	0.221679	0.966348
0.084000	0.163067	0.083537	0.224267	0.965575
0.085000	0.162184	0.082635	0.226875	0.964789
0.086000	0.161310	0.081747	0.229503	0.963987
0.087000	0.160445	0.080873	0.232151	0.963171
0.088000	0.159590	0.080013	0.234820	0.962340
0.089000	0.158744	0.079167	0.237509	0.961495
0.090000	0.157906	0.078334	0.240219	0.960633
0.091000	0.157078	0.077514	0.242950	0.959757
0.092000	0.156258	0.076707	0.245702	0.958864
0.093000	0.155447	0.075912	0.248475	0.957956
0.094000	0.154644	0.075130	0.251269	0.957032
0.095000	0.153850	0.074361	0.254085	0.956091
0.096000	0.153063	0.073603	0.256922	0.955134
0.097000	0.152286	0.072856	0.259780	0.954160
0.098000	0.151516	0.072122	0.262661	0.953169
0.099000	0.150754	0.071398	0.265563	0.952161
0.100000	0.150000	0.070686	0.268487	0.951135
0.101000	0.149254	0.069984	0.271433	0.950092
0.102000	0.148516	0.069294	0.274402	0.949030
0.103000	0.147785	0.068613	0.277392	0.947951
0.104000	0.147062	0.067944	0.280406	0.946854
0.105000	0.146346	0.067284	0.283441	0.945737
0.106000	0.145638	0.066634	0.286500	0.944603
0.107000	0.144937	0.065994	0.289581	0.943449
0.108000	0.144243	0.065364	0.292685	0.942276
0.109000	0.143556	0.064743	0.295812	0.941083
0.110000	0.142877	0.064132	0.298963	0.939871
0.111000	0.142204	0.063530	0.302136	0.938639
0.112000	0.141539	0.062936	0.305333	0.937387
0.113000	0.140880	0.062352	0.308553	0.936115
0.114000	0.140229	0.061777	0.311797	0.934822
0.115000	0.139584	0.061210	0.315064	0.933509
0.116000	0.138946	0.060651	0.318356	0.932174
0.117000	0.138314	0.060101	0.321671	0.930818
0.118000	0.137689	0.059559	0.325010	0.929441
0.119000	0.137070	0.059025	0.328373	0.928042
0.120000	0.136458	0.058499	0.331761	0.926622
0.121000	0.135853	0.057981	0.335172	0.925179
0.122000	0.135254	0.057471	0.338608	0.923714
0.123000	0.134661	0.056968	0.342069	0.922227
0.124000	0.134074	0.056473	0.345554	0.920717
0.125000	0.133494	0.055985	0.349063	0.919184
0.126000	0.132919	0.055504	0.352598	0.917628
0.127000	0.132351	0.055031	0.356157	0.916049
0.128000	0.131789	0.054564	0.359742	0.914446
0.129000	0.131233	0.054105	0.363351	0.912819
0.130000	0.130683	0.053652	0.366985	0.911169
0.131000	0.130139	0.053206	0.370645	0.909494
0.132000	0.129600	0.052767	0.374330	0.907795
0.133000	0.129068	0.052334	0.378040	0.906072
0.134000	0.128541	0.051908	0.381776	0.904324
